date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2020-11-25 03:00:00,188.59,1.1,4.97,55.79,4.17,2.72,7.87,0.63
2020-11-25 04:00:00,190.26,0.76,4.28,59.37,3.79,2.31,6.75,0.58
2020-11-25 05:00:00,191.93,0.6,3.9,57.22,3.37,1.93,5.58,0.53
2020-11-25 06:00:00,195.27,0.74,3.98,57.22,3.55,1.74,5.04,0.59
2020-11-25 07:00:00,196.93,0.84,3.6,58.65,3.46,1.7,5.01,0.59
2020-11-25 08:00:00,195.27,0.86,3.13,57.22,2.98,1.71,5.03,0.55
2020-11-25 09:00:00,195.27,1.31,4.46,51.5,3.58,2.02,5.89,0.71
2020-11-25 10:00:00,198.6,1.1,6.0,43.99,3.58,2.07,6.06,0.81
2020-11-25 11:00:00,200.27,0.21,7.37,38.98,3.4,2.01,5.88,0.82
2020-11-25 12:00:00,198.6,0.01,6.94,37.55,3.07,1.94,5.67,0.78
2020-11-25 13:00:00,196.93,0.01,6.94,35.05,3.31,1.99,5.7,0.82
2020-11-25 14:00:00,195.27,0.02,8.65,30.76,4.41,2.3,5.99,0.96
2020-11-25 15:00:00,196.93,0.06,13.2,24.32,7.15,2.97,6.41,1.17
2020-11-25 16:00:00,198.6,0.13,19.02,17.52,10.97,3.93,7.07,1.24
2020-11-25 17:00:00,196.93,0.28,23.31,12.16,13.83,5.01,8.1,1.27
2020-11-25 18:00:00,196.93,0.55,24.33,7.87,13.47,5.8,9.0,1.33
2020-11-25 19:00:00,193.6,0.85,20.91,5.63,10.25,5.67,8.91,1.38
2020-11-25 20:00:00,190.26,1.1,16.79,4.47,7.45,4.92,8.09,1.39
2020-11-25 21:00:00,190.26,1.55,14.22,3.44,6.44,4.26,7.42,1.43
2020-11-25 22:00:00,196.93,4.97,10.03,7.42,6.97,3.98,7.45,1.69
2020-11-25 23:00:00,223.64,8.94,9.51,13.95,8.7,4.34,8.58,2.53
2020-11-26 00:00:00,240.33,8.16,12.34,30.76,10.85,4.69,9.25,3.1
2020-11-26 01:00:00,250.34,5.53,15.42,66.52,13.11,6.24,11.67,3.74
2020-11-26 02:00:00,257.02,2.79,14.74,125.89,15.97,9.68,16.38,4.24
2020-11-26 03:00:00,247.0,0.85,6.86,163.08,13.47,10.77,15.78,2.57
2020-11-26 04:00:00,247.0,0.61,5.57,173.09,12.04,11.24,15.73,2.38
2020-11-26 05:00:00,240.33,0.52,5.1,170.23,10.73,11.41,15.99,2.03
2020-11-26 06:00:00,250.34,0.62,6.68,178.81,12.99,15.22,21.18,1.62
2020-11-26 07:00:00,257.02,0.59,7.28,197.41,17.64,19.43,26.19,0.76
2020-11-26 08:00:00,253.68,0.55,7.63,194.55,21.7,21.1,27.8,0.04
2020-11-26 09:00:00,240.33,0.55,9.6,161.65,18.6,18.56,25.17,0.0
2020-11-26 10:00:00,243.66,0.45,15.77,101.57,13.95,13.21,20.44,0.4
2020-11-26 11:00:00,250.34,0.04,21.08,68.67,12.64,12.66,23.4,0.86
2020-11-26 12:00:00,233.65,0.0,15.94,82.25,10.85,16.99,44.18,0.33
2020-11-26 13:00:00,226.97,0.0,12.51,85.12,7.99,20.8,56.27,0.47
2020-11-26 14:00:00,220.3,0.0,10.63,59.37,6.32,16.22,54.41,0.59
2020-11-26 15:00:00,201.94,0.0,6.86,46.49,4.29,9.27,36.44,0.42
2020-11-26 16:00:00,198.6,0.0,6.17,42.92,4.05,7.08,28.6,0.42
2020-11-26 17:00:00,195.27,0.0,6.0,44.7,4.17,6.2,24.61,0.46
2020-11-26 18:00:00,191.93,0.0,6.17,47.92,4.47,5.46,20.67,0.5
2020-11-26 19:00:00,188.59,0.0,7.03,49.35,5.07,4.76,16.51,0.57
2020-11-26 20:00:00,188.59,0.0,8.23,48.64,5.9,4.29,13.43,0.65
2020-11-26 21:00:00,186.92,0.0,9.17,46.49,6.62,3.93,11.09,0.72
2020-11-26 22:00:00,188.59,0.02,10.54,44.35,7.45,3.76,9.48,0.83
2020-11-26 23:00:00,196.93,0.12,13.37,40.41,8.7,3.86,8.89,1.11
2020-11-27 00:00:00,208.62,0.43,16.11,37.55,9.66,4.08,8.94,1.39
2020-11-27 01:00:00,213.62,0.82,17.48,36.48,10.73,4.3,9.16,1.55
2020-11-27 02:00:00,216.96,1.03,17.48,36.84,11.44,4.5,9.47,1.62
2020-11-27 03:00:00,216.96,2.15,15.59,41.13,11.56,4.69,9.78,1.62
2020-11-27 04:00:00,205.28,2.04,10.71,52.93,8.7,4.26,9.6,1.22
2020-11-27 05:00:00,190.26,1.01,5.48,67.23,4.83,3.54,9.09,0.7
